,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location,brand_name,shop_name
0,https://www.lazada.vn/products/hcmcamera-ip-wifi-yoosee-3-rau-hd-new-xoay-360-do-hinh-anh-sac-net-i1271936262.html,[HCM]CAMERA IP WIFI YOOSEE 3 RÂU HD New XOAY 360 ĐỘ - Hình ảnh sắc nét,219.000 ₫,1,1.0,51%off,1.0,(483),1.0,"2,362 Đã bán",Hồ Chí Minh,IMOU,Imou VN Authorized Store
1,https://www.lazada.vn/products/fnkvisioncamera-ip-wifi-5g-yoosee-11-led-50mpx-full-hd-new-2023-quay-dem-co-mau-xoay-360-do-theo-doi-doi-tuong-i2031203756.html,【FNKvision】CAMERA IP WIFI 5G YOOSEE 11 LED 5.0Mpx Full HD New 2023 - QUAY ĐÊM CÓ MÀU - XOAY 360 ĐỘ - THEO DỖI ĐỐI TƯỢNG,220.000 ₫,2,2.0,37%off,2.0,(1463),2.0,"6,407 Đã bán",Hồ Chí Minh,YooSee,Camera Yoosee Super Guard
2,https://www.lazada.vn/products/tang-kem-de-camera-camera-wifi-imou-ranger-2c-2mp-ta22cp-i-dam-thoai-2-chieu-i-phat-hien-con-nguoi-i-xoay-toan-canh-360-i-bao-hanh-2-nam-i-ta22cp-i1853037163.html,[🚩TẶNG KÈM ĐẾ CAMERA] Camera Wifi Imou Ranger 2C (2MP) TA22CP I Đàm thoại 2 chiều I Phát hiện con người I Xoay toàn cảnh 360 I Bảo hành 2 năm I TA22CP,558.131 ₫,3,3.0,30%off,3.0,(771),3.0,"4,657 Đã bán",Hà Nội,FNKvision,
3,https://www.lazada.vn/products/combo-3-camera-ezviz-c6n-2m-1080p-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-wifi-trong-nha-chinh-hang-i2161640804.html,COMBO 3 Camera EZVIZ C6N 2M 1080p Xoay 360 Độ- Đàm Thoại 2 Chiều- Báo Động Chống Trộm- Wifi Trong Nhà Chính Hãng,1.529.000 ₫,4,4.0,40%off,4.0,(9),4.0,778 Đã bán,Đà Nẵng,No Brand,CÔNG NGHỆ VYTEK
4,https://www.lazada.vn/products/camera-ip-wifi-5g-yoo-see-11-led-fnkvision-50mpx-full-hd-new-2023-quay-dem-co-mau-xoay-360-do-theo-doi-doi-tuong-i2013571990.html,CAMERA IP WIFI 5G YOO SEE 11 LED FNKvision 5.0Mpx Full HD New 2023 - QUAY ĐÊM CÓ MÀU - XOAY 360 ĐỘ - THEO DỖI ĐỐI TƯỢNG,210.000 ₫,5,5.0,40%off,5.0,(401),5.0,"1,569 Đã bán",Hồ Chí Minh,FNKvision,FNKvision-2
5,https://www.lazada.vn/products/hang-xin-free-ship-camera-yoosee-khong-rau-fhd1080-new-2023-xem-dem-co-mau-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-camera-gia-dinh-nho-gon-camera-an-ninh-giam-sat-wifi-i2100209797.html,[HÀNG XIN - FREE SHIP] CAMERA YOOSEE KHÔNG RÂU FHD1080 New 2023 - XEM ĐÊM CÓ MÀU - XOAY 360 ĐỘ - ĐÀM THOẠI 2 CHIỀU - BÁO ĐỘNG CHỐNG TRỘM - CAMERA GIA ĐÌNH NHỎ GỌN - CAMERA AN NINH GIÁM SÁT WIFI,249.000 ₫,6,6.0,45%off,6.0,(30),6.0,111 Đã bán,Hà Nội,Ezviz,DŨNG HẰNG CAMERA
6,https://www.lazada.vn/products/camera-ngoai-troi-chong-nuoc-yoosee-5mp-16led-toan-canh-360-do-fnkvision-khong-day-sieu-ro-net-bao-ve-gia-dinh-qua-dien-thoai-i2053826452.html,"Camera ngoài trời chống nước Yoosee 5MP 16LED toàn cảnh 360 độ Fnkvision, không dây siêu rõ nét, bảo vệ gia đình qua điện thoại",349.000 ₫,7,7.0,46%off,7.0,(46),7.0,191 Đã bán,Hồ Chí Minh,FNKvision,FNKvision-2
7,https://www.lazada.vn/products/camera-yoosee-khong-rau-wifi-8-led-fhd-1080p-50m-ban-dem-co-mau-sieu-net-xoay-360-do-dam-thoai-2-chieu-canh-bao-chuyen-dong-i2102986335.html,"Camera Yoosee không râu wifi 8 LED FHD 1080p 5.0M, Ban đêm có màu, Siêu nét Xoay 360 độ đàm thoại 2 chiều cảnh báo chuyển động",249.000 ₫,8,8.0,45%off,8.0,(128),8.0,344 Đã bán,Hà Nội,Gobos,GoBos
8,https://www.lazada.vn/products/camera-wifi-yoosee-bong-den-dem-co-mau-50mpx-full-hd-sieu-net-xoay-360-do-dam-thoai-2-chieu-canh-bao-chuyen-dong-bh-12-thang-i2047316329.html,Camera wifi Yoosee bóng đèn đêm có màu 5.0mpx FULL HD siêu nét xoay 360 độ đàm thoại 2 chiều cảnh báo chuyển động BH 12 tháng,213.000 ₫,9,9.0,47%off,9.0,(430),9.0,"1,950 Đã bán",Bắc Ninh,YooSee,
9,https://www.lazada.vn/products/camera-yoosee-wifi-khong-day-ngoai-troi-ptz-28-led-30mpx-full-hd-xoay-360-do-chong-nuoc-dam-thoai-2-chieu-i2170148769.html,"Camera Yoosee Wifi Không Dây Ngoài Trời PTZ 28 Led 3.0Mpx Full HD Xoay 360 Độ, Chống Nước, Đàm Thoại 2 Chiều",384.999 ₫,10,10.0,60%off,10.0,(110),10.0,251 Đã bán,Hồ Chí Minh,FNKvision,FNKvision-2
