,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location,brand_name,shop_name
0,https://www.lazada.vn/products/camera-ip-wifi-yoosee-3-rau-new-2022-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-camera-gia-dinh-nho-gon-camera-an-ninh-giam-sat-wifi-camera-wifi-yoosee-i1856444426.html,CAMERA IP WIFI YOOSEE 3 RÂU New 2022 - XOAY 360 ĐỘ - ĐÀM THOẠI 2 CHIỀU - BÁO ĐỘNG CHỐNG TRỘM-CAMERA GIA ĐÌNH NHỎ GỌN-CAMERA AN NINH GIÁM SÁT WIFI-CAMERA WIFI YOOSEE,213.000 ₫,1,1.0,47%off,1.0,(1023),1.0,"5,656 Đã bán",Hồ Chí Minh,No Brand,CÔNG NGHỆ VYTEK
1,https://www.lazada.vn/products/camera-yoosee-fhd-xoay-360-ban-dem-co-mau-new-2023-thiet-ke-gon-gang-khong-enten-van-bat-song-tot-i2093117688.html,Camera yoosee FHD Xoay 360 Ban đêm có màu new 2023 - thiết kế gọn gàng - không enten vẫn bắt sóng tốt,245.000 ₫,2,2.0,39%off,2.0,(113),2.0,754 Đã bán,Hà Nội,FNKvision,FNKvision-2
2,https://www.lazada.vn/products/hcmcamera-ip-wifi-yoosee-3-rau-hd-new-xoay-360-do-hinh-anh-sac-net-i1271936262.html,[HCM]CAMERA IP WIFI YOOSEE 3 RÂU HD New XOAY 360 ĐỘ - Hình ảnh sắc nét,219.000 ₫,3,3.0,51%off,3.0,(483),3.0,"2,362 Đã bán",Hồ Chí Minh,FNKvision,FNKvision-2
3,https://www.lazada.vn/products/fnkvision-camera-ip-wifi-yoosee-phien-ban-viet-50mpx-full-hd-2k-new-2023-quay-dem-sieu-net-xoay-360-do-theo-doi-doi-tuong-i2033926271.html,【FNKvision】 CAMERA IP WIFI YOOSEE PHIÊN BẢN VIỆT 5.0Mpx Full HD 2K New 2023 - QUAY ĐÊM SIÊU NÉT - XOAY 360 ĐỘ - THEO DỖI ĐỐI TƯỢNG,229.000 ₫,4,4.0,54%off,4.0,(507),4.0,"2,274 Đã bán",Hồ Chí Minh,YooSee,Camera a tân
4,https://www.lazada.vn/products/fnkvision-camera-ngoai-troi-ptz-xoay-360-chong-nuoc-yoosee-full-hd-5mp-16-led-ban-dem-tro-sang-dam-thoai-2-chieu-i2031368297.html,[FNKvision] Camera Ngoài Trời PTZ Xoay 360° Chống Nước YooSee Full HD 5MP 16 Led Ban Đêm Trợ Sáng Đàm Thoại 2 Chiều,346.000 ₫,5,5.0,47%off,5.0,(733),5.0,"2,880 Đã bán",Hồ Chí Minh,FNKvision,FNKvision-2
5,https://www.lazada.vn/products/fnkvisioncamera-ip-wifi-5g-yoosee-11-led-50mpx-full-hd-new-2023-quay-dem-co-mau-xoay-360-do-theo-doi-doi-tuong-i2031203756.html,【FNKvision】CAMERA IP WIFI 5G YOOSEE 11 LED 5.0Mpx Full HD New 2023 - QUAY ĐÊM CÓ MÀU - XOAY 360 ĐỘ - THEO DỖI ĐỐI TƯỢNG,220.000 ₫,6,6.0,37%off,6.0,(1463),6.0,"6,407 Đã bán",Hồ Chí Minh,YooSee,khosihoanggia
6,https://www.lazada.vn/products/camera-wifi-imou-c22ep-hoac-c22sp-dam-thoai-2-chieu-bao-dong-chong-trom-chinh-hang-fullbox-100-i1237135825.html,"Camera Wifi Imou C22EP Hoặc C22SP, đàm thoại 2 chiều, báo động chống trộm, Chính hãng Fullbox 100%",434.000 ₫,7,7.0,11%off,7.0,(377),7.0,"2,306 Đã bán",Đà Nẵng,Ezviz,DŨNG HẰNG CAMERA
7,https://www.lazada.vn/products/camera-wifi-yoosee-hd-1080p-kieu-dang-doc-dao-xoay-360-do-ho-tro-hong-ngoai-va-flash-mau-quay-dem-i829528726.html,"Camera wifi YOOSEE HD 1080p , kiểu dáng độc đáo, xoay 360 độ, hỗ trợ hồng ngoại và flash màu quay đêm",205.000 ₫,8,,,,,,,Hồ Chí Minh,YooSee,camerayoosee88
8,https://www.lazada.vn/products/camera-yoosee-hk212-xoay-360-do-hinh-dang-bong-den-dam-thoai-2-chieu-ban-dem-co-mau-bao-dong-chong-trom-wifi-khong-day-i2002189053.html,Camera YOOSEE HK212 Xoay 360 Độ Hình Dạng Bóng Đèn- Đàm Thoại 2 Chiều- Ban Đêm Có Màu- Báo Động Chống Trộm- Wifi Không Dây,226.000 ₫,9,9.0,53%off,9.0,(309),9.0,"1,652 Đã bán",Đà Nẵng,IMOU,Shop Thiết Bị Thông Minh Đà Nẵng 24H
9,https://www.lazada.vn/products/camera-yoosee-ptz-bong-den-fhd-1080p-ro-net-co-den-led-chieu-sang-ban-dem-xoay-360d-dam-thoai-2-chieu-i2036686654.html,"Camera Yoosee PTZ bóng đèn FHD 1080p Rõ nét, Có đèn Led chiếu sáng ban đêm, Xoay 360đ, Đàm thoại 2 chiều",199.000 ₫,10,10.0,43%off,10.0,(364),10.0,"1,483 Đã bán",Hà Nội,No Brand,Camera Yoosee Super Guard
10,https://www.lazada.vn/products/hang-xin-freeship-camera-ip-yoosee-ngoai-troi-ptz-mini-36led-50mpx-1080p-chong-nuoc-xem-dem-co-mau-bh-12-thang-loi-1-doi-1-i823694013.html,[HÀNG XỊN - FREESHIP] Camera IP Yoosee Ngoài Trời PTZ mini 36LED 5.0Mpx 1080P - chống nước xem đêm có màu - BH 12 tháng Lỗi 1 đổi 1,299.000 ₫,11,11.0,40%off,11.0,(828),11.0,"3,812 Đã bán",Hà Nội,YooSee,DŨNG HẰNG CAMERA
11,https://www.lazada.vn/products/combo-3-camera-ezviz-c6n-2m-1080p-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-wifi-trong-nha-chinh-hang-i2161640804.html,COMBO 3 Camera EZVIZ C6N 2M 1080p Xoay 360 Độ- Đàm Thoại 2 Chiều- Báo Động Chống Trộm- Wifi Trong Nhà Chính Hãng,1.529.000 ₫,12,12.0,40%off,12.0,(9),12.0,778 Đã bán,Đà Nẵng,YooSee,Camera Yoosee Super Guard
12,https://www.lazada.vn/products/camera-ip-wifi-ezviz-c6n-20mp-xoay-360d-chinh-hang-fullbox-100-i1221150986.html,"Camera IP Wifi EZVIZ C6N 2.0MP, Xoay 360đ, Chính hãng Fullbox 100%",199.000 ₫,13,13.0,43%off,13.0,(348),13.0,"2,076 Đã bán",Đà Nẵng,FNKvision,FNKvision-1
13,https://www.lazada.vn/products/camera-5g-ngoai-troi-chong-nuoc-yoo-see-toan-canh-360-do-fnkvision-khong-day-sieu-ro-net-bao-ve-gia-dinh-qua-dien-thoai-i2016021056.html,"Camera 5G ngoài trời chống nước Yoo see toàn cảnh 360 độ Fnkvision, không dây siêu rõ nét, bảo vệ gia đình qua điện thoại",329.000 ₫,14,14.0,49%off,14.0,(960),14.0,"4,845 Đã bán",Hồ Chí Minh,YooSee,NGỌC TƯỜNG VY STORE
14,https://www.lazada.vn/products/camera-ezviz-h8-5m-pro-3k-qhd-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-ban-dem-co-mau-wifi-ngoai-troi-chinh-hang-i2135724746.html,Camera EZVIZ H8 5M Pro 3K QHD Xoay 360 Độ- Đàm Thoại 2 Chiều- Báo Động Chống Trộm- Ban Đêm Có Màu- Wifi Ngoài Trời Chính Hãng,1.479.000 ₫,15,15.0,50%off,15.0,(73),15.0,433 Đã bán,Đà Nẵng,Ezviz,Shop Thiết Bị Thông Minh Đà Nẵng 24H
15,https://www.lazada.vn/products/camera-yoosee-ip-wifi-kieu-bong-den-8-led-quay-dem-co-mau-xoay-360-do-20mps-1080p-i1726418443.html,Camera Yoosee IP Wifi kiểu Bóng đèn 8 Led - Quay Đêm Có Màu - Xoay 360 Độ 2.0Mps - 1080P,225.000 ₫,16,16.0,44%off,16.0,(498),16.0,"2,222 Đã bán",Hồ Chí Minh,YooSee,khosihoanggia
16,https://www.lazada.vn/products/camera-ip-wifi-5g-yoo-see-11-led-fnkvision-50mpx-full-hd-new-2023-quay-dem-co-mau-xoay-360-do-theo-doi-doi-tuong-i2013571990.html,CAMERA IP WIFI 5G YOO SEE 11 LED FNKvision 5.0Mpx Full HD New 2023 - QUAY ĐÊM CÓ MÀU - XOAY 360 ĐỘ - THEO DỖI ĐỐI TƯỢNG,210.000 ₫,17,17.0,40%off,17.0,(401),17.0,"1,569 Đã bán",Hồ Chí Minh,Ezviz,DŨNG HẰNG CAMERA
17,https://www.lazada.vn/products/camera-wifi-yoosee-fullhd-1920-x-1080p-3-rau-bat-wifi-cuc-khoe-camera-wifi-giam-sat-lap-trong-nha-ban-dem-co-hong-ngoai-xoay-360-do-phat-hien-chuyen-dong-di-chuyen-theo-nguoi-camera-dam-thoai-2-chieu-ghi-am-ghi-hinh-i2007732851.html,"Camera wifi yoosee fullhd 1920 x 1080P 3 râu bắt wifi cực khỏe, camera wifi giám sát lắp trong nhà ban đêm có hồng ngoại xoay 360 độ, phát hiện chuyển động di chuyển theo người, camera đàm thoại 2 chiều ghi âm ghi hình",195.000 ₫,18,18.0,39%off,18.0,(609),18.0,"3,365 Đã bán",Hà Nội,FNKvision,FNKvision-1
18,https://www.lazada.vn/products/hang-xin-freeship-camera-wifi-yoosee-fullhd-1920-x-1080p-3-rau-bat-wifi-cuc-khoe-camera-wifi-giam-sat-lap-trong-nha-ban-dem-co-hong-ngoai-xoay-360-do-phat-hien-chuyen-dong-di-chuyen-theo-nguoi-camera-dam-thoai-2-chieu-ghi-am-i1005458086.html,"[HÀNG XỊN - FREESHIP] Camera wifi yoosee fullhd 1920 x 1080P 3 râu bắt wifi cực khỏe, camera wifi giám sát lắp trong nhà ban đêm có hồng ngoại xoay 360 độ, phát hiện chuyển động di chuyển theo người, camera đàm thoại 2 chiều ghi âm",279.000 ₫,19,19.0,44%off,19.0,(497),19.0,"2,430 Đã bán",Hà Nội,No Brand,Camera Yoosee Super Guard
19,https://www.lazada.vn/products/hang-xin-free-ship-camera-yoosee-khong-rau-fhd1080-new-2023-xem-dem-co-mau-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-camera-gia-dinh-nho-gon-camera-an-ninh-giam-sat-wifi-i2100209797.html,[HÀNG XIN - FREE SHIP] CAMERA YOOSEE KHÔNG RÂU FHD1080 New 2023 - XEM ĐÊM CÓ MÀU - XOAY 360 ĐỘ - ĐÀM THOẠI 2 CHIỀU - BÁO ĐỘNG CHỐNG TRỘM - CAMERA GIA ĐÌNH NHỎ GỌN - CAMERA AN NINH GIÁM SÁT WIFI,249.000 ₫,20,20.0,45%off,20.0,(30),20.0,111 Đã bán,Hà Nội,No Brand,Camera Yoosee Super Guard
20,https://www.lazada.vn/products/camera-ngoai-troi-xoay-360-do-camera-khong-day-camera-yoosee-camera-ip-wifi-yoosee-4-rau-xoay-360-do-do-phan-giai-full-hd-5mp-1920x1080p-khong-day-i1990992449.html,"Camera Ngoài Trời Xoay 360 Độ Camera Không Dây , Camera Yoosee , Camera IP Wifi Yoosee 4 Râu xoay 360 độ, độ phân giải FULL HD 5MP 1920x1080p Không Dây",429.000 ₫,21,21.0,39%off,21.0,(168),21.0,907 Đã bán,Hà Nội,YooSee,NGỌC TƯỜNG VY STORE
21,https://www.lazada.vn/products/hang-xin-freeship-camera-ip-yoosee-ngoai-troi-ptz-mini-36led-50mpx-1080p-chong-nuoc-xem-dem-co-mau-bh-12-thang-i2112745948.html,[HÀNG XỊN - FREESHIP] Camera IP Yoosee Ngoài Trời PTZ mini 36LED 5.0Mpx 1080P - chống nước xem đêm có màu - BH 12 tháng,285.000 ₫,22,22.0,36%off,22.0,(111),22.0,475 Đã bán,Hà Nội,YooSee,khosihoanggia
22,https://www.lazada.vn/products/camera-yoosee-3-rau-gg-new-2022-hinh-anh-sac-net-xoay-360-do-quay-hong-ngoai-ban-dem-i1413603330.html,Camera Yoosee 3 râu GG New 2022 - Hình ảnh sắc nét - Xoay 360 độ - Quay hồng ngoại ban đêm,225.000 ₫,23,23.0,50%off,23.0,(949),23.0,"4,982 Đã bán",Hồ Chí Minh,YooSee,Camera Yoosee Super Guard
23,https://www.lazada.vn/products/camera-yoosee-camera-wifi-yoosee-hk211-1080p-bong-den-camera-ban-dem-co-mau-xoay-360-do-kieu-bong-den-sang-trong-co-ho-tro-led-tro-sang-mau-ban-dem-bh-12-thang-i2020388168.html,"Camera YOOSEE - Camera Wifi YOOSEE HK211 (1080P) Bóng Đèn - Camera Ban Đêm Có Màu, Xoay 360 Độ. kiểu bóng đèn sang trọng - có hỗ trợ led trợ sáng màu ban đêm - BH 12 Tháng",206.000 ₫,24,24.0,48%off,24.0,(200),24.0,"1,316 Đã bán",Hà Nội,YooSee,khosihoanggia
24,https://www.lazada.vn/products/tang-kem-de-camera-camera-wifi-imou-ranger-a2-4mpi-ipc-a42p-co-cong-lan-i-phat-hien-con-nguoi-i-co-cong-lan-i-xoay-toan-canh-360-i-dam-thoai-2-chieu-i-bao-hanh-2-nam-i-a42p-i1853326532.html,[🚩TẶNG KÈM ĐẾ CAMERA ]Camera Wifi Imou Ranger A2 (4MP)I IPC-A42P - CÓ CỔNG LAN I Phát hiện con người I Có Cổng LAN I Xoay toàn cảnh 360 I Đàm thoại 2 chiều I Bảo hành 2 năm I A42P,746.011 ₫,25,25.0,40%off,25.0,(193),25.0,"1,018 Đã bán",Hà Nội,No Brand,CÔNG NGHỆ VYTEK
