,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location
0,https://www.lazada.vn/products/kebidumei-camera-wifi-mini-may-quay-an-ninh-xd-ir-cut-full-hd-1080p-camera-sieu-nho-nhin-dem-hong-ngoai-phat-hien-chuyen-dong-dv-i1460967787.html,Kebidumei Camera WiFi Mini Máy Quay An Ninh XD IR-CUT Full HD 1080P Camera Siêu Nhỏ Nhìn Đêm Hồng Ngoại Phát Hiện Chuyển Động DV,188.806 ₫,1,1.0,51%off,1.0,(38),1.0,285 Đã bán,Bình Dương
1,https://www.lazada.vn/products/camera-giam-sat-xiaomi-imilab-c21-qhd-25k-ban-quoc-te-camera-chong-trom-i2071437874.html,Camera giám sát Xiaomi Imilab C21 QHD 2.5K Bản Quốc Tế Camera chống trộm,680.000 ₫,2,2.0,26%off,2.0,(14),2.0,85 Đã bán,Hà Nội
2,https://www.lazada.vn/products/camera-ezviz-c6w-4m-2k-cao-cap-dam-thoai-2-chieu-bao-dong-chong-trom-wifi-trong-nha-chinh-hang-i2135692978.html,Camera EZVIZ C6W 4M 2k Cao Cấp- Đàm Thoại 2 Chiều- Báo Động Chống Trộm- Wifi Trong Nhà Chính Hãng,1.259.000 ₫,3,3.0,50%off,3.0,(72),3.0,127 Đã bán,Đà Nẵng
3,https://www.lazada.vn/products/camera-khong-day-wifi-ket-noi-dt-a9-plus-hong-ngoai-hd-1080p-may-quay-an-ninh-gia-dinh-khong-day-may-quay-ip-hd-tam-nhin-ban-dem-i1997077254.html,Camera Không Dây Wifi Kết Nối ĐT A9 Plus Hồng Ngoại HD 1080P Máy Quay An Ninh Gia Đình Không Dây Máy Quay IP HD Tầm Nhìn Ban Đêm,139.000 ₫,4,4.0,54%off,4.0,(165),4.0,428 Đã bán,Hà Nội
4,https://www.lazada.vn/products/camera-ip-wifi-imou-f42fp-40mp-ban-dem-co-mau-ngoai-troi-chong-nuoc-chinh-hang-100-i1710216687.html,"Camera IP WIFI imou F42FP 4.0MP Ban đêm có màu, ngoài trời chống nước, Chính hãng 100%",928.000 ₫,5,5.0,37%off,5.0,(15),5.0,69 Đã bán,Đà Nẵng
5,https://www.lazada.vn/products/camera-yoosee-ptz-xoay-360-do-full-hd-20mp-dam-thoai-2-chieu-bao-dong-chong-trom-ban-dem-co-mau-wifi-khong-day-ngoai-troi-i2168311310.html,Camera Yoosee PTZ Xoay 360 Độ Full HD 2.0MP- Đàm Thoại 2 Chiều- Báo Động Chống Trộm- Ban Đêm Có Màu- Wifi Không Dây Ngoài Trời,446.455 ₫,6,6.0,20%off,6.0,(7),6.0,32 Đã bán,Hà Nội
6,https://www.lazada.vn/products/jvgood-camera-ip-bong-den-camera-toan-canh-camera-blub-co-den-camera-an-ninh-360-khong-day-wifi-camera-quan-sat-camera-hd-1080p-ung-dung-co-micro-quan-sat-ban-dem-am-thanh-i2054672450.html,JvGood Camera IP Bóng Đèn Camera Toàn Cảnh Camera Blub Có Đèn Camera An Ninh 360 ° Không Dây WiFi Camera Quan Sát Camera HD 1080P Ứng Dụng Có Micrô Quan Sát Ban Đêm Âm Thanh,304.000 ₫,7,7.0,52%off,7.0,(11),7.0,58 Đã bán,Nước ngoài
7,https://www.lazada.vn/products/bao-hanh-24-thang-camera-mini-ket-noi-dien-thoai-camera-sieu-nho-sq11-chinh-hang-camera-wifi-khong-day-hd-1080p-chong-dung-chong-nuoc-sieu-sac-net-may-quay-phim-mini-sieu-nho-camera-hanh-trinh-o-to-may-quay-video-camera-360-do-i2030193530.html,"[BẢO HÀNH 24 THÁNG] Camera mini kết nối điện thoại, Camera siêu nhỏ SQ11 chính hãng, Camera Wifi không dây HD 1080P, chống dung, chống nước, siêu sắc nét, Máy quay phim mini siêu nhỏ, Camera hành trình ô tô, Máy quay video, Camera 360 độ",110.408 ₫,8,8.0,45%off,8.0,(24),8.0,123 Đã bán,Hà Nội
8,https://www.lazada.vn/products/jvgood-camera-noi-soi-dau-do-camera-noi-soi-duong-ong-hd-7mm-camera-noi-soi-chong-nuoc-ip67-6-led-sieu-nho-chong-nuoc-cho-o-to-may-anh-mini-dien-thoai-thong-minh-cong-nghiep-may-noi-soi-usb-type-c-i1968510166.html,JvGood Camera Nội Soi Đầu Dò Camera Nội Soi Đường Ống HD 7Mm Camera Nội Soi Chống Nước IP67 6 LED Siêu Nhỏ Chống Nước Cho Ô Tô Máy Ảnh Mini Điện Thoại Thông Minh Công Nghiệp Máy Nội Soi USB Type C,104.000 ₫,9,9.0,50%off,9.0,(1),9.0,21 Đã bán,Nước ngoài
9,https://www.lazada.vn/products/fnkvision-camera-ngoai-troi-ptz-mini-xoay-360-chong-nuoc-yoosee-full-hd-5mp-16-led-ban-dem-tro-sang-dam-thoai-2-chieu-i2053998242.html,[FNKvision] Camera Ngoài Trời PTZ MINI Xoay 360° Chống Nước YooSee Full HD 5MP 16 Led Ban Đêm Trợ Sáng Đàm Thoại 2 Chiều,349.000 ₫,10,10.0,46%off,10.0,(3),10.0,20 Đã bán,Hồ Chí Minh
