,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location
0,https://www.lazada.vn/products/hang-nhap-khau-chinh-hang-camera-ngoai-troi-yoosee-516-4r-50mp-4-rau-xoay-ngoai-troi-36-led-sieu-net-co-mau-ban-dem-dam-thoai-2-chieu-tich-hop-4-anten-bat-song-wifi-sieu-khoe-canh-bao-chuyen-dong-chong-chom-i2062078956.html,"( HÀNG NHẬP KHẨU CHÍNH HÃNG ) Camera Ngoài Trời Yoosee 516-4r 5.0mp 4 Râu Xoay Ngoài Trời 36 Led Siêu Nét , Có Màu Ban Đêm, Đàm Thoại 2 Chiều, Tích Hợp 4 Anten Bắt Sóng Wifi Siêu Khỏe, Cảnh Báo Chuyển Động Chống Chộm",567.432 ₫,1,1.0,53%off,1.0,(190),1.0,621 Đã bán,Hồ Chí Minh
1,https://www.lazada.vn/products/camera-imou-ptzfp-4m-2k-xoay-360-do-thu-am-ban-dem-co-mau-goc-nhin-sieu-rong-wifi-ngoai-troi-chinh-hang-i1821262300.html,Camera IMOU PTZ S41FP 4M 2K Xoay 360 Độ- Thu Âm- Ban Đêm Có Màu- Góc Nhìn Siêu Rộng - Wifi Ngoài Trời Chính Hãng,1.109.000 ₫,2,2.0,50%off,2.0,(28),2.0,110 Đã bán,Đà Nẵng
2,https://www.lazada.vn/products/tang-kem-de-camera-camera-wifi-imou-ranger-a2-2mp-i-phat-hien-con-nguoi-i-xoay-toan-canh-360-i-dam-thoai-2-chieu-i-bao-hanh-2-nam-i-co-cong-lan-i-a22ep-i1852950885.html,[🚩TẶNG KÈM ĐẾ CAMERA ]Camera Wifi Imou Ranger A2 (2MP) I Phát hiện con người I Xoay toàn cảnh 360 I Đàm thoại 2 chiều I Bảo hành 2 năm I Có Cổng LAN I A22EP,605.000 ₫,3,3.0,42%off,3.0,(30),3.0,189 Đã bán,Hà Nội
3,https://www.lazada.vn/products/chinh-hang-camera-giam-sat-tot-nhat-camera-wi-fi-imou-cell-go-ipc-b32p-v2-3mp-cao-cap-hinh-anh-full-hd-camera-dung-pin-khong-day-tich-hop-phat-hien-xam-nhap-va-canh-bao-dam-thoai-2-chieu-cam-bien-pir-i2188810820.html,"[ Chính Hãng ] Camera Giám Sát Tốt Nhất, CAMERA WI-FI IMOU CELL GO IPC-B32P-V2 3MP Cao Cấp, Hình Ảnh Full HD, Camera Dùng Pin Không Dây, Tích Hợp Phát Hiện Xâm Nhập Và Cảnh Báo, Đàm Thoại 2 Chiều, Cảm Biến PIR",1.428.000 ₫,4,4.0,55%off,4.0,(35),4.0,70 Đã bán,Hồ Chí Minh
4,https://www.lazada.vn/products/camera-yoosee-hk216s-xoay-360-do-hd-2m-1080p-dam-thoai-2-chieu-bao-dong-chong-trom-ban-dem-co-mau-wifi-khong-day-trong-nha-i2146401764.html,Camera YOOSEE HK216S Xoay 360 Độ HD 2M 1080p- Đàm Thoại 2 Chiều- Báo Động Chống Trộm- Ban Đêm Có Màu- Wifi Không Dây Trong Nhà,299.000 ₫,5,5.0,50%off,5.0,(4),5.0,5 Đã bán,Đà Nẵng
5,https://www.lazada.vn/products/camera-wifi-camera-yoosee-2r28l-50mpx-fullhd-1080-sieu-sac-net-chong-chiu-thoi-tiet-mua-xem-dem-co-mau-i1751082582.html,Camera wifi Camera Yoosee 2R28L 5.0Mpx FullHD 1080 Siêu sắc nét chống chịu thời tiết mưa xem đêm có màu,283.000 ₫,6,6.0,48%off,6.0,(473),6.0,"2,201 Đã bán",Bắc Ninh
6,https://www.lazada.vn/products/khong-day-camera-wifi-360-do-trong-nha-may-quay-video-hd-phat-hien-chuyen-dong-quan-sat-ban-dem-giam-sat-an-ninh-gia-dinh-a7-i2223991728.html,Không Dây Camera Wifi 360 Độ Trong Nhà Máy Quay Video Hd Phát Hiện Chuyển Động Quan Sát Ban Đêm Giám Sát An Ninh Gia Đình A7,225.000 ₫,7,,,,,,,Nước ngoài
7,https://www.lazada.vn/products/mua-2-tang-1-qua-ezviz-camera-ezviz-c6n-4mp-khong-day-trong-nha-moi-nhat-2021-hong-ngoai-ban-dem-10m-theo-doi-thong-minh-i1480713222.html,"[MUA 2 TẶNG 1 QUÀ EZVIZ] Camera EZVIZ C6N 4MP không dây trong nhà mới nhất 2021, hồng ngoại ban đêm 10m, theo dõi thông minh",750.000 ₫,8,8.0,50%off,8.0,(29),8.0,167 Đã bán,Hồ Chí Minh
8,https://www.lazada.vn/products/tro-gia-camera-ip-yoosee-wifi-xoay-360-do-full-hd-bao-dong-chong-trom-i1852100612.html,"[Trợ giá] Camera IP YooSee WIFI Xoay 360 Độ Full HD, Báo Động Chống Trộm",225.000 ₫,9,9.0,44%off,9.0,(9),9.0,36 Đã bán,Đà Nẵng
9,https://www.lazada.vn/products/camera-imou-ip-wifi-ngoai-troi-xoayfp-4mp-2k-co-mau-ban-dem-chinh-hang-i1828041921.html,Camera IMOU IP Wifi ngoài trời xoay S42FP 4MP 2K có màu ban đêm chính hãng,930.000 ₫,10,10.0,2%off,10.0,(49),10.0,196 Đã bán,Đà Nẵng
