,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location
0,https://www.lazada.vn/products/freeship-hoan-tien-combo-3-camera-wifi-ezviz-c6n-2mp-full-hd-1080p-xoay-360-do-dam-thoai-2-chieu-phat-hien-chuyen-dong-bao-hanh-2-nam-i2193840156.html,"[FREESHIP + HOÀN TIỀN] Combo 3 Camera WIFI EZVIZ C6N 2MP, Full HD 1080P, Xoay 360 độ, Đàm Thoại 2 Chiều, Phát Hiện Chuyển Động, Bảo Hành 2 Năm",1.519.000 ₫,1,1.0,48%off,1.0,(3),1.0,204 Đã bán,Hồ Chí Minh
1,https://www.lazada.vn/products/camera-carecam-ptz-20mpx-ngoai-troi-chong-nuoc-xoay-360d-dam-thoai-2-chieu-chay-app-carecampro-i1747206766.html,"Camera Carecam PTZ 2.0Mpx, Ngoài trời chống nước, Xoay 360đ, Đàm thoại 2 chiều, Chạy App: CARECAMPRO",389.000 ₫,2,2.0,35%off,2.0,(7),2.0,25 Đã bán,Đà Nẵng
2,https://www.lazada.vn/products/camera-wifi-thong-minh-ezviz-c6n-2mp-1080p-i1448998338.html,Camera Wifi thông minh EZVIZ C6N 2MP-1080P,494.000 ₫,3,,,,,,,Hồ Chí Minh
3,https://www.lazada.vn/products/gia-sap-san-camera-ip-wifi-yoosee-8-led-new-2022-quay-dem-co-mau-xoay-360-do-theo-doi-doi-tuong-i1364082010.html,[ GIÁ SẬP SÀN ] CAMERA IP WIFI YOOSEE 8 LED New 2022 - QUAY ĐÊM CÓ MÀU - XOAY 360 ĐỘ - THEO DỖI ĐỐI TƯỢNG,235.000 ₫,4,4.0,48%off,4.0,(860),4.0,"3,649 Đã bán",Hồ Chí Minh
4,https://www.lazada.vn/products/hcmcamera-ip-wifi-yoosee-ptz-mini-1636-led-hd1080-chong-nuoc-xoay-360-do-quay-dem-co-mau-i1277419265.html,[HCM]CAMERA IP WIFI YOOSEE PTZ MINI 16/36 LED HD1080 - CHỐNG NƯỚC XOAY 360 ĐỘ - QUAY ĐÊM CÓ MÀU,369.000 ₫,5,5.0,26%off,5.0,(358),5.0,"1,429 Đã bán",Hồ Chí Minh
5,https://www.lazada.vn/products/camera-ngoai-troi-chong-nuoc-yoosee-5mp-36led-toan-canh-360-do-fnkvision-khong-day-sieu-ro-net-bao-ve-gia-dinh-qua-dien-thoai-i2054092070.html,"Camera ngoài trời chống nước Yoosee 5MP 36LED toàn cảnh 360 độ Fnkvision, không dây siêu rõ nét, bảo vệ gia đình qua điện thoại",350.000 ₫,6,6.0,46%off,6.0,(7),6.0,50 Đã bán,Hồ Chí Minh
6,https://www.lazada.vn/products/camera-yoosee-bong-den-the-he-moi-50mp-xoay-360-do-xem-dem-co-mau-dam-thoai-2-chieu-mau-moi-2022-ma-bong-den-i2051421695.html,"Camera Yoosee bóng đèn thế hệ mới 5.0MP - xoay 360 độ, xem đêm có màu, đàm thoại 2 chiều mẫu mới 2022 MÃ BÓNG ĐÈN",219.000 ₫,7,7.0,37%off,7.0,(256),7.0,"1,307 Đã bán",Hà Nội
7,https://www.lazada.vn/products/freeshipcamera-ip-wifi-xoay-360-v380-pro-ezviz-c6n-2mp-1080p-new-camera-khong-day-theo-doi-chuyen-dong-hang-phan-phoi-chinh-thuc-i2072882744.html,[FREESHIP]Camera IP WiFi Xoay 360° V380 PRO / EZVIZ C6N 2MP 1080P (NEW) - Camera không dây theo dõi chuyển động Hãng Phân Phối Chính Thức.,318.998 ₫,8,8.0,40%off,8.0,(124),8.0,143 Đã bán,Hồ Chí Minh
8,https://www.lazada.vn/products/camera-ip-wifi-ngoai-troi-app-yoosee-2-rau-1080p-led-tro-sang-quay-dem-co-mau-chong-nuoc-chong-bui-i550586670.html,"Camera IP Wifi Ngoài trời app Yoosee 2 Râu 1080P - LED trợ sáng quay đêm có màu, chống nước chống bụi...",316.150 ₫,9,9.0,47%off,9.0,(199),9.0,966 Đã bán,Hồ Chí Minh
9,https://www.lazada.vn/products/camera-ip-yoosee-wifi-khong-day-camera-trong-nha-3-rau-quay-dem-hong-ngoai-dam-thoai-2-chieu-bao-hanh-12-thang-i1433203097.html,Camera ip Yoosee Wifi không dây- camera trong nhà 3 Râu - quay đêm hồng ngoại - đàm thoại 2 chiều - BẢO HÀNH 12 THÁNG,210.000 ₫,10,10.0,49%off,10.0,(40),10.0,254 Đã bán,Hồ Chí Minh
