,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location,brand_name,shop_name
0,https://www.lazada.vn/products/giao-hang-trong-vong-24hcamera-wifi-khong-day-ngoai-troi-360camera-mini-khong-daycamera-hinh-cau-xoay-360-do-1080p-sieu-net-cam-bien-chuyen-dong-su-dung-ai-moi-dam-thoai-2-chieu-nhin-dem-hd-i2232511330.html,"【giao hàng trong vòng 24h】camera wifi không dây ngoài trời 360,Camera mini không dây,Camera Hình Cầu Xoay 360 độ 1080P Siêu Nét, Cảm Biến Chuyển Động, Sử Dụng Ai Mới, Đàm Thoại 2 Chiều, Nhìn Đêm HD",480.000 ₫,1,1.0,40%off,1.0,(1),1.0,Hồ Chí Minh,Hồ Chí Minh,No Brand,Cellphone Tech
1,https://www.lazada.vn/products/camera-chinh-hang-wifi-yoosee-5-rau-8-led-30mpx-full-hd-mau-moi-2022-camera-xoay-360-do-dam-thoai-2-chieu-theo-doi-chuyen-dongbao-hanh-chinh-hang-5-nam-i2177485250.html,"Camera chính hãng Wifi Yoosee 5 Râu 8 Led 3.0Mpx Full HD Mẫu Mới 2022, Camera xoay 360 độ, đàm thoại 2 chiều, theo dõi chuyển động,bảo hành chính hãng 5 năm",649.000 ₫,2,2.0,36%off,2.0,(119),2.0,610 Đã bán,Hà Nội,Ezviz,Nguyễn Vũ Store
2,https://www.lazada.vn/products/camera-wifi-imou-a22ep-1080p-full-hd-thu-am-bao-dong-dam-thoai-2-chieu-i1766495221.html,"Camera Wifi IMOU A22EP 1080P Full HD Thu Âm, Báo Động, Đàm Thoại 2 Chiều",545.000 ₫,3,3.0,25%off,3.0,(152),3.0,875 Đã bán,Hà Nội,IMOU,Balacomart
3,https://www.lazada.vn/products/camera-ip-hong-ngoai-wifi-ezviz-c6n-1080p-2mp-hang-chinh-hang-i2187345935.html,Camera IP hồng ngoại Wifi Ezviz C6N 1080p 2MP - Hàng chính hãng,509.000 ₫,4,4.0,43%off,4.0,(2),4.0,149 Đã bán,Cần Thơ,No Brand,A_Hoco_Shop
4,https://www.lazada.vn/products/camera-ngoai-troi-yoosee-4-rau-do-phan-giai-full-hd-1920x1080p-i1901661953.html,"Camera Ngoài Trời Yoosee 4 râu, độ phân giải FULL HD 1920x1080p",369.000 ₫,5,5.0,30%off,5.0,(91),5.0,165 Đã bán,Hà Nội,IMOU,2Tech Store
5,https://www.lazada.vn/products/camera-imou-a42p-a22ep-c22-chinh-hang-i1707858534.html,"camera imou A42P, A22EP, C22 chính hãng",438.000 ₫,6,,,,,,,Đà Nẵng,YooSee,khosihoanggia
6,https://www.lazada.vn/products/camera-ezviz-c3tn-3mp-ngoai-troi-co-mau-ban-dem-ai-thong-minh-i1703296510.html,Camera Ezviz C3TN 3MP Ngoài trời - Có mầu ban đem - AI Thông minh,700.000 ₫,7,,,,,,,Đà Nẵng,Xiaomi,GIGA Mall - Ecovacs và gia dụng thông minh
7,https://www.lazada.vn/products/camera-wifi-yoosee-trong-nha-thiet-ke-dang-chui-bong-den-hd-1080p-kieu-dang-doc-dao-xoay-360-do-ho-tro-hong-ngoai-va-flash-mau-quay-dem-bao-hanh-12-thang-i478454274.html,"Camera wifi YOOSEE trong nhà . thiết kế dạng chui bóng đèn HD 1080p , kiểu dáng độc đáo, xoay 360 độ, hỗ trợ hồng ngoại và flash màu quay đêm- bảo hành 12 THÁNG",199.000 ₫,8,8.0,49%off,8.0,(153),8.0,506 Đã bán,Hồ Chí Minh,YooSee,cammeradocquyen22
8,https://www.lazada.vn/products/bao-hanh-1-nam-camera-wifi-mini-camera-sieu-nho-giam-sat-ip-v380-pro-ket-noi-dien-thoai-thong-minh-camera-360-do-camera-an-ninh-gia-dinh-trong-nha-ngoai-troi-gia-re-hon-camera-yoosee-ezviz-i1926820424.html,"[Bảo hành 1 năm] Camera wifi mini, camera siêu nhỏ giám sát IP V380 Pro kết nối điện thoại thông minh, camera 360 độ, camera an ninh gia đình, trong nhà, ngoài trời giá rẻ hơn camera yoosee, ezviz...",328.000 ₫,9,9.0,34%off,9.0,(81),9.0,163 Đã bán,Hà Nội,KAW,MAX HCM
9,https://www.lazada.vn/products/camera-giam-sat-360-do-xiaomi-imilab-a1-2k-ban-quoc-te-camera-chong-trom-i2072180845.html,Camera giám sát 360 độ Xiaomi IMILAB A1 2K bản quốc tế Camera chống trộm,689.000 ₫,10,10.0,26%off,10.0,(41),10.0,184 Đã bán,Hà Nội,Ezviz,Balacomart
10,https://www.lazada.vn/products/kebeteme-camera-mini-camera-bo-tui-camera-sieu-nho-dvr-di-dong-deo-duoc-cho-xe-dap-may-quay-video-mini-i1472164254.html,KEBETEME Camera Mini Camera Bỏ Túi Camera Siêu Nhỏ DVR Di Động Đeo Được Cho Xe Đạp Máy Quay Video Mini,57.900 ₫,11,11.0,40%off,11.0,(62),11.0,255 Đã bán,Bình Dương,KEBETEME,KEBETEME
11,https://www.lazada.vn/products/camera-sieu-nho-camera-mini-ket-noi-voi-dien-thoai-camera-noi-soi-tai-sieu-net-di-kem-bo-dau-lay-ray-tai-cao-cap-bao-hanh-uy-tin-i1737261229.html,"Camera siêu nhỏ, Camera mini kết nối với điện thoại, Camera Nội Soi Tai Siêu Nét Đi Kèm Bộ Đầu Lấy Ráy Tai Cao Cấp - Bảo hành uy tín",144.485 ₫,12,12.0,47%off,12.0,(160),12.0,251 Đã bán,Hồ Chí Minh,OEM,Shop New Star
12,https://www.lazada.vn/products/camera-wifi-khong-day-mini-camera-an-ninh-chong-trom-camera-giam-sat-ban-dem-camera-mini-xoay-360-dam-thoai-2-chieu-pin-su-dung-len-den-5-gio-hong-ngoai-soi-dem-zoom-4x-i2219538815.html,"Camera Wifi Không Dây Mini, Camera An Ninh Chống Trộm, Camera Giám Sát Ban Đêm, Camera Mini Xoay 360° Đàm Thoại 2 Chiều - Pin Sử Dụng Lên Đến 5 Giờ - Hồng Ngoại Soi Đêm - Zoom 4X",859.000 ₫,13,13.0,49%off,13.0,(56),13.0,401 Đã bán,Hà Nội,IMOU,CÔNG NGHỆ VYTEK
13,https://www.lazada.vn/products/camera-giam-sat-mini-ip-wifi-ket-noi-dt-v380-pro-hong-ngoai-hd-1080p-may-quay-an-ninh-gia-dinh-khong-day-may-quay-ip-hd-tam-nhin-ban-dem-i2218466533.html,Camera Giám Sát Mini IP Wifi Kết Nối ĐT V380 Pro Hồng Ngoại HD 1080P - Máy Quay An Ninh Gia Đình Không Dây - Máy Quay IP HD Tầm Nhìn Ban Đêm,859.000 ₫,14,14.0,49%off,14.0,(57),14.0,400 Đã bán,Hà Nội,OEM,INCVN
14,https://www.lazada.vn/products/camera-ngoai-troi-xoay-360-do-camera-khong-day-camera-yoosee-camera-ip-wifi-yoosee-4-rau-xoay-360-do-do-phan-giai-full-hd-5mp-1920x1080p-khong-day-i1901763461.html,"Camera Ngoài Trời Xoay 360 Độ Camera Không Dây , Camera Yoosee , Camera IP Wifi Yoosee 4 Râu xoay 360 độ, độ phân giải FULL HD 5MP 1920x1080p Không Dây",419.000 ₫,15,15.0,40%off,15.0,(144),15.0,587 Đã bán,Hà Nội,Ezviz,DŨNG HẰNG CAMERA
15,https://www.lazada.vn/products/tang-the-nho-32-gb-but-ghi-am-quay-camera-full-hd-but-camera-mini-ghi-am-the-he-moi-ghi-am-sac-net-ro-rang-tu-dong-ghi-lai-am-thanh-khi-duoc-phat-hien-chuc-nang-giam-tieng-on-loi-1-doi-1-i2080204740.html,"[Tặng thẻ nhớ 32 gb] But Ghi Âm Quay Camera Full HD, But Camera Mini Ghi Âm thế hệ mới, Ghi Âm Sắc Nét Rõ Ràng, Tự Động Ghi Lại Âm Thanh Khi Được Phát Hiện, Chức Năng Giảm Tiếng Ồn ( LỖI 1 ĐỔI 1 )",299.000 ₫,16,16.0,46%off,16.0,(127),16.0,382 Đã bán,Hà Nội,OEM,INCVN
