,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location
0,https://www.lazada.vn/products/camera-ip-wifi-ngoai-troi-yoosee-ptz-36-led-50mpx-camera-yoosee-ptz-16-led-50mpx-full-hd-1080-chong-nuoc-xoay-360-do-do-theo-chuyen-dong-bao-dong-am-thanh-va-den-quay-dem-co-mau-hinh-anh-sac-net-goc-quay-rong-dam-thoai-2-chieu-i1876120381.html,"CAMERA IP WIFI NGOÀI TRỜI YOOSEE PTZ 36 led 5.0MPX - CAMERA YOOSEE PTZ 16 LED 5.0Mpx FULL HD 1080 CHỐNG NƯỚC, XOAY 360 ĐỘ, DÒ THEO CHUYỂN ĐỘNG BÁO ĐỘNG ÂM THANH VÀ ĐÈN, QUAY ĐÊM CÓ MÀU, HÌNH ẢNH SẮC NÉT GÓC QUAY RỘNG, ĐÀM THOẠI 2 CHIỀU",375.000 ₫,1,1.0,46%off,1.0,(50),1.0,271 Đã bán,Hồ Chí Minh
1,https://www.lazada.vn/products/100-chinh-hang-camera-wifi-ezviz-c6n-2mp-1080p-xoay-360-thong-minh-dam-thoai-2-chieu-quay-theo-chuyen-dong-camera-cs-c6n-giam-sat-wifi-khong-day-camera-toan-cau-i337146881.html,[100% CHÍNH HÃNG] Camera WIFI EZVIZ C6N 2MP (1080P) - Xoay 360 Thông Minh + Đàm Thoại 2 Chiều + Quay Theo Chuyển Động - Camera CS-C6N Giám Sát WIFI Không Dây - Camera Toàn Cầu,509.000 ₫,2,2.0,50%off,2.0,(1069),2.0,"5,850 Đã bán",Hồ Chí Minh
2,https://www.lazada.vn/products/camera-giam-sat-ngoai-troi-imilab-ec3-imilab-ec3-pro-chong-bui-khang-nuoc-nhin-dem-full-mau-tam-nhin-vuot-troi-ban-pro-ho-tro-pc-app-i1833653487.html,"Camera giám sát ngoài trời Imilab EC3 / Imilab EC3 Pro chống bụi, kháng nước, nhìn đêm full màu, tầm nhìn vượt trội - Bản Pro hỗ trợ PC app",1.280.000 ₫,3,3.0,20%off,3.0,(10),3.0,39 Đã bán,Hà Nội
3,https://www.lazada.vn/products/camera-ip-wifi-yoosee-5g-fnkvision-50mp-mau-moi-2023-quan-sat-360-do-phien-ban-tieng-viet-bao-hanh-12-thang-i2183893251.html,Camera IP Wifi Yoosee 5G FNKVISION 5.0mp mẫu mới 2023 - quan sát 360 độ - phiên bản tiếng việt - bảo hành 12 tháng,299.000 ₫,4,4.0,25%off,4.0,(2),4.0,Hồ Chí Minh,Hồ Chí Minh
4,https://www.lazada.vn/products/2k-camera-wifi-fnkvision-sieu-net-yoosee-5mp-360-dam-thoai-2-chieu-quan-sat-toan-canh-i2051577208.html,"2K Camera Wifi Fnkvision siêu nét YOOSEE 5MP 360° đàm thoại 2 chiều, - quan sát toàn cảnh",260.000 ₫,5,5.0,48%off,5.0,(3),5.0,18 Đã bán,Hồ Chí Minh
5,https://www.lazada.vn/products/camera-ip-wifi-yoosee-phien-ban-viet-fnkvision-50mpx-full-hd-2k-new-2023-quay-dem-sieu-net-xoay-360-do-theo-doi-chuyen-dong-i2051688034.html,CAMERA IP WIFI YOOSEE PHIÊN BẢN VIỆT FNKvision 5.0Mpx Full HD 2K New 2023 - QUAY ĐÊM SIÊU NÉT - XOAY 360 ĐỘ - THEO DÕI CHUYỂN ĐỘNG,260.000 ₫,6,6.0,48%off,6.0,(4),6.0,15 Đã bán,Hồ Chí Minh
6,https://www.lazada.vn/products/hcmcamera-ip-wifi-carecam-cc2020v5pro-new-fhd1080-20mps-the-nho-3264g-xoay-theo-chuyen-dong-i814412614.html,"[HCM]Camera IP Wifi CARECAM CC2020/V5PRO New FHD1080 - 2.0Mps, thẻ nhớ 32/64G - Xoay Theo Chuyển Động",302.400 ₫,7,7.0,33%off,7.0,(42),7.0,253 Đã bán,Hồ Chí Minh
7,https://www.lazada.vn/products/camera-wifi-khong-day-yoosee-trong-nha-3-rau-full-hd1080p-khong-cong-lan-ho-tro-xem-dem-hong-ngoai-bao-hanh-12-thang-i275900112.html,camera wifi không dây yoosee trong nhà 3 râu FULL HD1080P - không cổng LAN - hỗ trợ xem đêm hồng ngoài - BẢO HÀNH 12 THÁNG,209.000 ₫,8,8.0,40%off,8.0,(1083),8.0,"6,075 Đã bán",Hồ Chí Minh
8,https://www.lazada.vn/products/camera-wifi-mini-giam-sat-hinh-cuc-ao-camera-hinh-cuc-ao-x9-chat-luong-full-hd-sieu-net-co-wifi-i2234903977.html,Camera Wifi Mini Giám Sát Hình Cúc Áo- Camera Hình Cúc Áo X9 Chất Lượng Full HD Siêu Nét- Có Wifi,699.000 ₫,9,,,,,,,Hà Nội
9,https://www.lazada.vn/products/camera-wifi-ip-ngoai-troi-app-yoosee-50mpx-zoom-8x-tich-hop-den-led-ban-dem-co-mau-i2223651322.html,Camera WIFI IP Ngoài Trời App Yoosee 5.0Mpx Zoom 8x tích hợp đèn LED Ban đêm có màu,330.000 ₫,10,,,,,,,Lạng Sơn
10,https://www.lazada.vn/products/camera-wifi-imou-a22ep-a42p-4mp-h265-hang-chinh-hang-i1707885287.html,Camera wifi imou A22EP A42P 4MP H265 Hàng chính hãng,485.000 ₫,11,11.0,2%off,11.0,(24),11.0,123 Đã bán,Đà Nẵng
11,https://www.lazada.vn/products/fnkvision-camera-ngoai-troi-ptz-xoay-360-chong-nuoc-yoosee-full-hd-5mp-36-led-ban-dem-tro-sang-dam-thoai-2-chieu-i2054069067.html,[FNKvision] Camera Ngoài Trời PTZ Xoay 360° Chống Nước YooSee Full HD 5MP 36 Led Ban Đêm Trợ Sáng Đàm Thoại 2 Chiều,369.000 ₫,12,,,,,,,Hồ Chí Minh
12,https://www.lazada.vn/products/fnkvision-camera-ngoai-troi-ptz-xoay-360-chong-nuoc-yoosee-full-hd-5mp-36-led-ban-dem-tro-sang-dam-thoai-2-chieu-i2048801373.html,[FNKvision] Camera Ngoài Trời PTZ Xoay 360° Chống Nước YooSee Full HD 5MP 36 Led Ban Đêm Trợ Sáng Đàm Thoại 2 Chiều,331.000 ₫,13,13.0,49%off,13.0,(1),13.0,10 Đã bán,Hồ Chí Minh
13,https://www.lazada.vn/products/tang-the-nho-32gb-camera-wifi-a9-pro-bao-dong-bang-coi-hu-va-nhan-tin-ve-dien-thoai-co-tinh-nang-chong-trom-va-nhin-dem-may-quay-mini-sieu-nho-sieu-net-full-hd-1080-may-quay-mini-cam-tay-co-hong-ngoai-bao-hanh-1-doi-i1937123985.html,"[TẶNG THẺ NHỚ 32GB] Camera wifi A9 Pro báo động bằng còi hú và nhắn tin về điện thoại, có tính năng chống trộm và nhìn đêm, Máy quay mini siêu nhỏ, siêu nét full hd 1080, Máy quay mini cầm tay có hồng ngoại, Bảo hành 1 đổi",178.841 ₫,14,14.0,46%off,14.0,(2),14.0,13 Đã bán,Hà Nội
14,https://www.lazada.vn/products/yoosee-camera-ngoai-troi-ptz-mini-xoay-360-chong-nuoc-fnkvision-full-hd-5mp-16-led-ban-dem-tro-sang-dam-thoai-2-chieu-i2048659831.html,Yoosee Camera Ngoài Trời PTZ MINI Xoay 360° Chống Nước Fnkvision Full HD 5MP 16 Led Ban Đêm Trợ Sáng Đàm Thoại 2 Chiều,349.000 ₫,15,15.0,46%off,15.0,(10),15.0,28 Đã bán,Hồ Chí Minh
15,https://www.lazada.vn/products/camera-giam-sat-imilab-ec5-xoay-360-do-nhin-xuyen-dem-ket-noi-app-mihome-camera-giam-sat-ngoai-troi-i2117153797.html,"Camera giám sát Imilab EC5 xoay 360 độ, nhìn xuyên đêm, kết nối app Mihome - Camera giám sát ngoài trời",1.245.000 ₫,16,16.0,16%off,16.0,(1),16.0,7 Đã bán,Hà Nội
