,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location,brand_name,shop_name
13,https://www.lazada.vn/products/hang-xin-freeship-camera-ip-yoosee-ngoai-troi-ptz-mini-36led-50mpx-1080p-chong-nuoc-xem-dem-co-mau-bh-12-thang-loi-1-doi-1-i823694013.html,[HÀNG XỊN - FREESHIP] Camera IP Yoosee Ngoài Trời PTZ mini 36LED 5.0Mpx 1080P - chống nước xem đêm có màu - BH 12 tháng Lỗi 1 đổi 1,299.000 ₫,14,14.0,40%off,14.0,(828),14.0,"3,812 Đã bán",Hà Nội,Ezviz,Shop Thiết Bị Thông Minh Đà Nẵng 24H
14,https://www.lazada.vn/products/camera-ip-wifi-ezviz-c6n-20mp-xoay-360d-chinh-hang-fullbox-100-i1221150986.html,"Camera IP Wifi EZVIZ C6N 2.0MP, Xoay 360đ, Chính hãng Fullbox 100%",199.000 ₫,15,15.0,43%off,15.0,(348),15.0,"2,076 Đã bán",Đà Nẵng,IMOU,Shop Thiết Bị Thông Minh Đà Nẵng 24H
15,https://www.lazada.vn/products/camera-imou-a42p-40mp-hoac-a22ep-20mp-chinh-hang-vinago-phan-phoi-fullbox-100-i1237225417.html,"Camera IMOU A42P 4.0MP hoặc A22EP 2.0MP Chính hãng Vinago phân phối, Fullbox 100%",485.000 ₫,16,16.0,19%off,16.0,(227),16.0,"1,099 Đã bán",Đà Nẵng,IMOU,Shop Thiết Bị Thông Minh Đà Nẵng 24H
16,https://www.lazada.vn/products/camera-ezviz-h8-5m-pro-3k-qhd-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-ban-dem-co-mau-wifi-ngoai-troi-chinh-hang-i2135724746.html,Camera EZVIZ H8 5M Pro 3K QHD Xoay 360 Độ- Đàm Thoại 2 Chiều- Báo Động Chống Trộm- Ban Đêm Có Màu- Wifi Ngoài Trời Chính Hãng,1.479.000 ₫,17,17.0,50%off,17.0,(73),17.0,433 Đã bán,Đà Nẵng,YooSee,Camera Yoosee Super Guard
17,https://www.lazada.vn/products/camera-yoosee-ip-wifi-kieu-bong-den-8-led-quay-dem-co-mau-xoay-360-do-20mps-1080p-i1726418443.html,Camera Yoosee IP Wifi kiểu Bóng đèn 8 Led - Quay Đêm Có Màu - Xoay 360 Độ 2.0Mps - 1080P,225.000 ₫,18,18.0,44%off,18.0,(498),18.0,"2,222 Đã bán",Hồ Chí Minh,YooSee,NGỌC TƯỜNG VY STORE
18,https://www.lazada.vn/products/camera-wifi-yoosee-ptz-2-rau-28-led-50mpx-full-hd-xoay-360-do-xem-dem-co-mau-dam-thoai-ghi-am-chong-tromcamera-an-ninhcamera-giam-satcamera-ngoai-troicamera-chong-nuoc-i1964893262.html,"CAMERA WIFI YOOSEE PTZ 2 râu 28 LED 5.0Mpx FULL HD XOAY 360 ĐỘ , XEM ĐÊM CÓ MÀU , ĐÀM THOẠI , GHI ÂM , CHỐNG TRỘM,CAMERA AN NINH,CAMERA GIÁM SÁT,CAMERA NGOÀI TRỜI,CAMERA CHỐNG NƯỚC",295.000 ₫,19,19.0,41%off,19.0,(167),19.0,801 Đã bán,Hồ Chí Minh,No Brand,Camera Yoosee Super Guard
19,https://www.lazada.vn/products/camera-wifi-yoosee-fullhd-1920-x-1080p-3-rau-bat-wifi-cuc-khoe-camera-wifi-giam-sat-lap-trong-nha-ban-dem-co-hong-ngoai-xoay-360-do-phat-hien-chuyen-dong-di-chuyen-theo-nguoi-camera-dam-thoai-2-chieu-ghi-am-ghi-hinh-i2007732851.html,"Camera wifi yoosee fullhd 1920 x 1080P 3 râu bắt wifi cực khỏe, camera wifi giám sát lắp trong nhà ban đêm có hồng ngoại xoay 360 độ, phát hiện chuyển động di chuyển theo người, camera đàm thoại 2 chiều ghi âm ghi hình",195.000 ₫,20,20.0,39%off,20.0,(609),20.0,"3,365 Đã bán",Hà Nội,IMOU,IMOU STORE
20,https://www.lazada.vn/products/hang-xin-freeship-camera-wifi-yoosee-fullhd-1920-x-1080p-3-rau-bat-wifi-cuc-khoe-camera-wifi-giam-sat-lap-trong-nha-ban-dem-co-hong-ngoai-xoay-360-do-phat-hien-chuyen-dong-di-chuyen-theo-nguoi-camera-dam-thoai-2-chieu-ghi-am-i1005458086.html,"[HÀNG XỊN - FREESHIP] Camera wifi yoosee fullhd 1920 x 1080P 3 râu bắt wifi cực khỏe, camera wifi giám sát lắp trong nhà ban đêm có hồng ngoại xoay 360 độ, phát hiện chuyển động di chuyển theo người, camera đàm thoại 2 chiều ghi âm",279.000 ₫,21,21.0,44%off,21.0,(497),21.0,"2,430 Đã bán",Hà Nội,YooSee,khosihoanggia
21,https://www.lazada.vn/products/camera-ngoai-troi-xoay-360-do-camera-khong-day-camera-yoosee-camera-ip-wifi-yoosee-4-rau-xoay-360-do-do-phan-giai-full-hd-5mp-1920x1080p-khong-day-i1990992449.html,"Camera Ngoài Trời Xoay 360 Độ Camera Không Dây , Camera Yoosee , Camera IP Wifi Yoosee 4 Râu xoay 360 độ, độ phân giải FULL HD 5MP 1920x1080p Không Dây",429.000 ₫,22,22.0,39%off,22.0,(168),22.0,907 Đã bán,Hà Nội,YooSee,khosihoanggia
22,https://www.lazada.vn/products/hang-xin-freeship-camera-ip-yoosee-ngoai-troi-ptz-mini-36led-50mpx-1080p-chong-nuoc-xem-dem-co-mau-bh-12-thang-i2112745948.html,[HÀNG XỊN - FREESHIP] Camera IP Yoosee Ngoài Trời PTZ mini 36LED 5.0Mpx 1080P - chống nước xem đêm có màu - BH 12 tháng,285.000 ₫,23,23.0,36%off,23.0,(111),23.0,475 Đã bán,Hà Nội,No Brand,Camera Yoosee Super Guard
23,https://www.lazada.vn/products/camera-imou-wifi-versa-trong-nha-va-ngoai-troi-i-ipc-c22fp-i-dam-thoai-i-phat-hien-chuyen-dong-i-mau-ban-dem-i2056337316.html,Camera Imou Wifi Versa trong nhà và ngoài trời I IPC-C22FP I Đàm thoại I Phát hiện chuyển động I Màu ban đêm,909.000 ₫,24,24.0,35%off,24.0,(141),24.0,621 Đã bán,Hồ Chí Minh,YooSee,Camera Yoosee Super Guard
24,https://www.lazada.vn/products/hang-xin-freeship-camera-yoosee-wifi-khong-day-ngoai-troi-ptz-mini-36led-50mpx-1080p-xoay-360-do-chong-nuoc-xem-dem-co-mau-bh-6-thang-loi-1-doi-1-i2086681975.html,[HÀNG XỊN - FREESHIP] Camera Yoosee Wifi không dây Ngoài Trời PTZ mini 36LED 5.0Mpx 1080P xoay 360 độ - chống nước xem đêm có màu - BH 6 tháng lỗi 1 đổi 1,299.000 ₫,25,25.0,34%off,25.0,(93),25.0,409 Đã bán,Hà Nội,IMOU,IMOU STORE
25,https://www.lazada.vn/products/camera-yoosee-3-rau-gg-new-2022-hinh-anh-sac-net-xoay-360-do-quay-hong-ngoai-ban-dem-i1413603330.html,Camera Yoosee 3 râu GG New 2022 - Hình ảnh sắc nét - Xoay 360 độ - Quay hồng ngoại ban đêm,225.000 ₫,26,26.0,50%off,26.0,(949),26.0,"4,982 Đã bán",Hồ Chí Minh,YooSee,khosihoanggia
26,https://www.lazada.vn/products/camera-yoosee-camera-wifi-yoosee-hk211-1080p-bong-den-camera-ban-dem-co-mau-xoay-360-do-kieu-bong-den-sang-trong-co-ho-tro-led-tro-sang-mau-ban-dem-bh-12-thang-i2020388168.html,"Camera YOOSEE - Camera Wifi YOOSEE HK211 (1080P) Bóng Đèn - Camera Ban Đêm Có Màu, Xoay 360 Độ. kiểu bóng đèn sang trọng - có hỗ trợ led trợ sáng màu ban đêm - BH 12 Tháng",206.000 ₫,27,27.0,48%off,27.0,(200),27.0,"1,316 Đã bán",Hà Nội,YooSee,CAMERA WIFI YOSEE
27,https://www.lazada.vn/products/tang-kem-de-camera-camera-wifi-imou-ranger-a2-4mpi-ipc-a42p-co-cong-lan-i-phat-hien-con-nguoi-i-co-cong-lan-i-xoay-toan-canh-360-i-dam-thoai-2-chieu-i-bao-hanh-2-nam-i-a42p-i1853326532.html,[🚩TẶNG KÈM ĐẾ CAMERA ]Camera Wifi Imou Ranger A2 (4MP)I IPC-A42P - CÓ CỔNG LAN I Phát hiện con người I Có Cổng LAN I Xoay toàn cảnh 360 I Đàm thoại 2 chiều I Bảo hành 2 năm I A42P,746.011 ₫,28,28.0,40%off,28.0,(193),28.0,"1,018 Đã bán",Hà Nội,YooSee,NGỌC TƯỜNG VY STORE
28,https://www.lazada.vn/products/camera-yoosee-bong-den-fhd-1080p-kieu-dang-doc-dao-xoay-360-do-ho-tro-hong-ngoai-va-flash-mau-quay-dem-i2071923648.html,"Camera Yoosee Bóng Đèn FHD 1080p , kiểu dáng độc đáo, xoay 360 độ, hỗ trợ hồng ngoại và flash màu quay đêm",222.000 ₫,29,29.0,26%off,29.0,(804),29.0,"3,564 Đã bán",Hà Nội,IMOU,Imou VN Authorized Store
29,https://www.lazada.vn/products/camera-wifi-trong-nha-imou-ranger-2c-4mp-ranger-se-4mp-i-ipc-ta42p-i-dam-thoai-2-chieu-i-xoay-toan-canh-360-i-bao-hanh-2-nam-i-ipc-ta42-i2053626874.html,Camera Wifi trong nhà Imou Ranger 2C (4MP)/ Ranger SE (4MP) I IPC-TA42P I Đàm thoại 2 chiều I Xoay toàn cảnh 360 I Bảo hành 2 năm I IPC-TA42,730.000 ₫,30,30.0,44%off,30.0,(191),30.0,552 Đã bán,Hồ Chí Minh,No Brand,CÔNG NGHỆ VYTEK
30,https://www.lazada.vn/products/hang-xin-freeship-camera-ip-yoosee-mau-moi-50mpx-full-hd-1080p-xem-dem-co-hong-ngoai-xoay-360-do-i951484429.html,[HÀNG XỊN - FREESHIP] Camera Ip Yoosee Mẫu Mới 5.0mpx - Full HD 1080P - Xem Đêm Có Hồng Ngoại - Xoay 360 độ,199.000 ₫,31,31.0,43%off,31.0,(407),31.0,"2,234 Đã bán",Hà Nội,CARECAM,Shop Thiết Bị Thông Minh Đà Nẵng 24H
31,https://www.lazada.vn/products/camera-ip-wifi-yoosee-3-rau-new-2022-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-camera-gia-dinh-nho-gon-camera-an-ninh-giam-sat-wifi-camera-wifi-yoosee-i2071982220.html,CAMERA IP WIFI YOOSEE 3 RÂU New 2022 - XOAY 360 ĐỘ - ĐÀM THOẠI 2 CHIỀU - BÁO ĐỘNG CHỐNG TRỘM-CAMERA GIA ĐÌNH NHỎ GỌN-CAMERA AN NINH GIÁM SÁT WIFI-CAMERA WIFI YOOSEE,225.000 ₫,32,32.0,25%off,32.0,(102),32.0,425 Đã bán,Hà Nội,Ezviz,Balacomart
32,https://www.lazada.vn/products/camera-ip-wifi-yoosee-ptz-4-rau-15-led-xoay-360-do-chong-nuoc-quay-dem-co-mau-hinh-anh-ro-net-i1621580665.html,CAMERA IP WIFI YOOSEE PTZ 4 RÂU 15 LED XOAY 360 ĐỘ - CHỐNG NƯỚC - QUAY ĐÊM CÓ MÀU - HÌNH ẢNH RÕ NÉT,435.000 ₫,33,33.0,33%off,33.0,(130),33.0,633 Đã bán,Hồ Chí Minh,FNKvision,FNKvision-2
33,https://www.lazada.vn/products/camera-outdoor-wifi-ptz-mini-5g-yoosee-phien-ban-tieng-viet-fnkvision-50mp-quan-sat-360-do-full-hd-xem-dem-co-mau-i2089403767.html,"Camera outdoor wifi PTZ mini 5G Yoosee, phiên bản tiếng việt - FNKVISION 5.0MP, quan sát 360 độ, Full HD, xem đêm có màu",385.000 ₫,34,34.0,45%off,34.0,(43),34.0,176 Đã bán,Hồ Chí Minh,YooSee,Camera a tân
34,https://www.lazada.vn/products/camera-wifi-carecam-v5pro-30mp-phien-ban-2023-ban-dem-co-mau-xoay-360-do-chay-ung-dung-carecampro-i1256065881.html,"Camera wifi Carecam V5Pro 3.0MP Phiên bản 2023, Ban đêm có màu, Xoay 360 độ, chạy ứng dụng: Carecampro",299.000 ₫,35,35.0,25%off,35.0,(135),35.0,621 Đã bán,Đà Nẵng,No Brand,Camera Yoosee Super Guard
35,https://www.lazada.vn/products/camera-ezviz-c6n-2mp-chinh-hang-bao-hanh-2-nam-i1361052318.html,Camera Ezviz C6N 2MP chính hãng bảo hành 2 năm,495.000 ₫,36,,,,,,,Đà Nẵng,YooSee,CAMERA WIFI YOSEE
36,https://www.lazada.vn/products/qua-tang-khong-ban-imou-card-luu-tru-dam-may-goi-1-thang-i2053927596.html,[Qùa tặng không bán] Imou Card Lưu Trữ Đám Mây - Gói 1 tháng,200.000 ₫,37,,,,,,,Hồ Chí Minh,,
37,https://www.lazada.vn/products/bao-hanh-12-thangcamera-giam-sat-khong-day-v380-camera-wifi-ip-v380-pro-xoay-360-do-trong-nha-ngoai-troi-chong-trom-co-hong-ngoai-dam-thoai-2-chieu-quan-sat-ngay-dem-i1966931215.html,"[BẢO HÀNH 12 THÁNG]Camera giám sát không dây V380, Camera Wifi IP V380 Pro xoay 360 độ trong nhà, ngoài trời - Chống trộm, có hồng ngoại, đàm thoại 2 chiều, quan sát ngày đêm",349.000 ₫,38,38.0,46%off,38.0,(252),38.0,547 Đã bán,Hồ Chí Minh,,
38,https://www.lazada.vn/products/camera-ip-yoosee-ptzmini-36led-xem-dem-co-mau-fullhd-m36-bao-hanh-12-thang-i1985107672.html,Camera IP YooSee PTZmini 36led - xem đêm có màu FullHD M36 - Bảo Hành 12 Tháng,293.000 ₫,39,39.0,30%off,39.0,(194),39.0,980 Đã bán,Hà Nội,,
39,https://www.lazada.vn/products/camera-wifi-trong-nha-imou-ranger-2c-2mp-i-dam-thoai-2-chieu-i-xoay-toan-canh-360-i-bao-hanh-2-nam-i-ta22cp-i2053933613.html,Camera Wifi trong nhà Imou Ranger 2C (2MP) I Đàm thoại 2 chiều I Xoay toàn cảnh 360 I Bảo hành 2 năm I TA22CP,599.000 ₫,40,40.0,33%off,40.0,(584),40.0,"1,718 Đã bán",Hồ Chí Minh,,
