,product_id,shop_id,cmt_id,user_id,cmt_content,time,product_quality,seller_service,like_count,author_username
21,1257717612,55564549,9667019645,70064686,"Hình ảnh mang tính chất minh họa để nhận xu của shopee, canh sale mua nên giá rất hạt dẻ và sản phẩm xài tốt, ngon như oppa trong hình, mọi người nên mua nhen",1664243727,5,5.0,7.0,uyentran2609
22,1257717612,55564549,6936658848,53081968,"Đóng gói sản phẩm kỹ, giao hàng nhanh. Thông số kỹ thuật có sai lệch so với mô tả, đề nghị nên điều chỉnh khớp với sản phẩm.",1639712496,5,,21.0,nguyenvanman0603
23,1257717612,55564549,8880223993,424673811,"Quán em có bán Trà sữa Truyền thống - thái xanh - khoai môn - sữa tươi trân châu đường đen - trà đào - trà vải - Rau má bí đao - bánh tráng trộn - bánh tráng cuốn ❤️
Giá 10-15-20k
Đc: 255a tl15 ấp 1 tân thạnh tây 
0902042149 - 0921129226",1657084826,5,,11.0,4akx4nwms6
24,20952877374,816505872,10583396731,322358706,"Chất lượng sản phẩm:Tốt
Tính năng nổi bật:Tự theo dõi người vào nhà

Cam cũng bình thường thôi không nét bằng cái cũ của mình ❤️❤️❤️❤️❤️",1674006089,5,5.0,16.0,hathanhlong2004
25,20952877374,816505872,10533694977,464744616,Nhìn rõ vào bạn đêm có khả năng chống trộm tốt đáng mua full HD,1673444419,5,5.0,13.0,anhtiencm123
26,20952877374,816505872,10538534298,288633241,"Xem ban đêm rất kém, mờ như sương mù vậy. Không biết nguyên nhân là gì. Lần trước mua thì ban đêm màu trắng đen nhưng vẫn rõ nét",1673506185,5,5.0,15.0,hanhtinhcodon852002
27,20952877374,816505872,10425819100,164699888,"Chiết Áp Đơn
Chiết Áp Đơn được sử dụng rất nhiều trong mạch điện tử cần thay đổi giá trị về thông số như mạch tăng áp, hạ áp,... tùy vào nhu cầu cũng như mục đích sử dụng mà chúng ta chọn cho mình các linh kiện điện tử phù hợp nhất trong việc sửa chữa hay trong thiết kế mạch.

Chiết áp đơn thực chất là một điện trở có núm xoay kết nối vào thanh quét tạo ra hai phần có giá trị điện trở thay đổi theo vị trí thanh q",1672246873,5,5.0,3.0,thangpham21081999
28,20952877374,816505872,10168256084,47636939,"Tính năng nổi bật:Đẹp long lanh, sắc nét
Chất lượng sản phẩm:chua dung chua biet

Camera mới sản xuất năm 2022, có kèm thêm thẻ nhớ lưu hình ảnh, camera hình nét căng, máu sắc rõ nét, đáng mua nha mọi người",1669543277,5,5.0,12.0,nhunghong83
29,20952877374,816505872,10157879289,852226564,"Chưa dùng nên chưa biết ntn. Đánh giá cảm quan thấy ok, đầy đủ phụ kiện, tem mac đầy đủ bảo hành…",1669431812,5,5.0,10.0,kimhana.12345678
30,20952877374,816505872,10327096707,234911156,"Rất hài lòng . Đặc biệt đèn led phát sáng khi chuyển động , tác dụng tốt vào ban đêm",1671186573,5,5.0,4.0,dthn1258
31,20952877374,816505872,11110005702,84009621,"Chất lượng sản phẩm:rất tốt
Tính năng nổi bật:dễ dàng kết nối, có hỗ trợ mạng 5g, hình ảnh sắc nét

Sản phẩm sử dụng tốt, kết nối với ứng dụng yoosee. Đèn led sáng, hình ảnh ban ngày hay đêm đều rõ nét. Shop đóng gói cẩn thận, giao vận chuyển nhanh. Sản phẩm bảo hành uy tín. Đã mua dùng của shop, nay mua ủng hộ tiếp.",1680018754,5,5.0,2.0,nhatdaiquangminh
32,20952877374,816505872,10569332646,281474641,"Chất lượng sản phẩm:mới lắp ráp, cảm nhận ok.
Tính năng nổi bật:quay dc 360 độ, tuy nhiên bị hẹp ko gian ko bao quát hết nếu đứng 1 chỗ như camera khác.

Nếu dùng quan sát con nhỏ rất tiện, có thể nghe nói chuyện z con mình.",1673845467,5,5.0,4.0,robin7777777
