,shop_id,shop_name,rating_bad,rating_good,rating_normal,rating_star,place,create_time
410,31861340,garahaiphong,439,24823,823,4.807279,"Huyện Kim Sơn, Ninh Bình",1503563784
411,95745903,cardecoration.vn,20,417,23,4.67713,,1539243764
412,775951608,aukeyofficialmall.vn,116,7735,142,4.853804,"Quận Bắc Từ Liêm, Hà Nội",1653043776
413,82328273,phamvan06101991,1,421,7,4.920561,"Thành Phố Thủ Đức, TP. Hồ Chí Minh",1533139999
414,99552004,hainam_auto,86,4759,125,4.826247,"Quận Hà Đông, Hà Nội",1540791415
415,279844729,electrostore.vn,477,2397,185,4.18006,,1593504867
416,135245218,oppophoneuse.vn,647,13855,666,4.674387,,1553335517
417,561305325,smart.lab,37,8427,102,4.926502,"Quận Bình Tân, TP. Hồ Chí Minh",1633969628
418,22020379,tdk0404,8,841,26,4.855491,"Quận 3, TP. Hồ Chí Minh",1494260355
419,279844729,electrostore.vn,477,2397,185,4.18006,,1593504867
