,id
562,207274241
563,187187766
564,116969562
565,124273897
566,177488244
567,87446726
568,25764693
569,207892723
570,50562851
571,53401965
572,205893125
573,198254236
574,190608284
575,136682132
576,90109085
577,212935749
578,5524549
579,114873750
580,175544983
581,249060418
582,72752993
583,6649989
584,56203038
585,10771677
586,68242940
587,214864172
588,57876590
589,52497383
590,184883730
591,206250018
592,206231628
593,193100647
594,195523175
595,95064719
596,118089824
597,124015019
598,159973821
599,118656783
600,59429978
601,207759451
602,28527933
603,95064602
604,123548151
605,14081108
606,177767350
607,101990701
608,127869286
609,136403411
610,108757607
611,198254352
612,194083992
613,141788623
614,170262593
615,75696942
616,118090194
617,201842982
618,215217303
619,215997881
620,213956178
621,189552731
622,103897888
623,129714168
624,7318605
625,54024076
626,203878766
627,20278186
628,194069934
629,10866806
630,125613232
631,107690467
632,248327805
633,111963392
634,207174449
635,123547953
636,20523584
637,205581978
638,58852284
639,186252758
640,6663499
641,47507884
642,181502353
643,206229025
644,11220497
645,90760284
646,196024990
647,188427421
648,5946221
649,15633289
650,93205789
651,92092967
652,186257743
653,94521681
654,247419129
655,12391802
656,53227580
657,104416131
658,48718745
659,212934946
660,214665727
661,249505308
662,208389931
663,95064724
664,204634551
665,193887861
666,198384704
667,114447835
668,206250331
669,173767812
670,201933768
671,16342887
672,52715468
673,173359661
674,185946084
675,105725024
676,213705995
677,173347601
678,116970061
679,100260991
680,177062010
681,31186206
682,170815916
683,198254291
684,197614953
685,207274174
686,48609098
687,106056484
688,205893165
689,198915887
690,19414752
691,170841894
692,50240540
693,181754645
694,170501699
695,160759305
696,74893380
697,57309569
698,15634428
699,5524525
700,16048714
701,198254237
702,97963121
703,205492293
704,188927018
705,9839803
706,100373477
707,199200572
708,101994217
709,84086656
710,176183041
711,94341802
712,213925236
713,54023400
714,92396627
715,213887824
716,194823008
717,96597607
718,36024549
719,130388439
720,104416721
721,16317230
722,116969532
723,204621405
724,94596171
725,88250011
726,15213299
727,133775418
728,117801697
729,126594967
730,198254368
731,176187808
732,534143
733,25283141
734,75831435
735,205601972
736,184876859
737,126097755
738,198458717
739,193616803
740,45805979
741,46758948
742,208524967
743,31186215
744,141219617
745,147294850
746,155531351
747,205578789
748,125729184
749,114803522
750,207034917
751,185167239
752,192376600
753,21860970
754,134504137
755,9871034
756,194067352
757,124015030
758,209275677
759,107221602
760,96869715
761,15666817
762,152647094
763,205492120
764,20316242
765,114447764
766,7645879
767,249772271
768,112888691
769,21085627
770,206249774
771,248294839
772,198413216
773,205541564
774,155763956
775,149976457
776,178057988
777,534187
778,204471410
779,197630603
780,206244661
781,74606487
782,146495140
783,48717728
