,id,sku,short_description,price,list_price,discount,discount_rate,review_count,quantity_sold,cs_id,cs_name,stock_item,inventory_status,product_name,brand_id,brand_name,location
363,181754645,7691559794848,"EZVIZ eLifeCamera chạy pin BC1CCamera bảo vệ toàn diện ngôi nhà của bạn nhờ pin có tuổi thọ lớn.BC1C là camera sạc lại được 100% không dây, có khả năng bảo vệ toàn diện ngôi nhà trong tối đa ...",2390000,2390000,0,0,0,3,265319,Shop Phân Phối Camera,1000,available,"Tăng Pin NLMT-Camera Wi-Fi EZVIZ BC1C Pin Sạc 7800mAh, Bộ Nhớ Trong 32GB, Ngoài Trời-Hàng Chính Hãng",247217,EZVIZ,Trong nước
364,170501699,5532064239541,"Lưu ý: Nhiều trường hợp do dùng thẻ nhớ không chính hãng nên camera không nhận thẻ nhớ, trong trường hợp đó shop không hỗ trợ lỗi đọc thẻ nhớ. Để được hỗ trợ tốt nhất hãy mua kèm thẻ nhớ của shop.- K...",1260000,1900000,640000,34,4,5,222073,TRANGIATELECOM,1000,available,Camera Wifi Ezviz C6W siêu nét 4Mp góc rộng xoay 360 độ - Hàng chính hãng,247217,EZVIZ,Trong nước
365,160759305,3426985541410,CAMERA KHÔNG DÂY S900 IP WIFI CAMERA SIÊU NHỎ THEO DÕI TỪ XA QUA WIFI 3G 4G PIN KHỦNG 24 GIỜ-Cực kỳ nhỏ gọn không dây-Ống kính dài nhỏ cúc áo dạng lò xo xoay 360 độ chắc chắn-Thiết kế đặc biệt dễ d...,1350000,1350000,0,0,1,6,189196,THIÊN NHẬT QB,1000,available,"Camera WiFi S900 không dây PIN khủng 24 giờ ,nhỏ gọn, Siêu nét chuẩn video 4K FullHd 1080p Kết nối trục tiếp điện thoại xem từ xa",561415,	OEM,Trong nước
366,74893380,1850594212025,Camera IP hồng ngoại không dây 2.0 Megapixel DAHUA IPC-F22FP-IMOU- IPC-F22FP-IMOU là dòng camera IP hồng ngoại không dây lắp đặt ngoài trời độ phân giải HD 1080P.- Cảm biến hình ảnh: 1/2.8-inch CMOS...,810000,810000,0,0,0,0,0,,0,available,"Camera IP Wifi Imou IPC-F22FP-IMOU Full HD 1080P,lắp ngoài trời - Hàng Chính Hãng",416097,IMOU,Trong nước
367,57309569,1170593227739,"C3NCamera Wi-Fi thông minh ngoài trờiThay bạn trực đêm.C3N có ba chế độ ghi hình ban đêm và khả năng phát hiện người sử dụng trí tuệ nhân tạo (AI), mang đến khả năng quan sát ban đêm sắc né...",885000,885000,0,0,1,14,265319,Shop Phân Phối Camera,1000,available,Camera IP Wifi Ngoài Trời Ezviz C3N Full HD 1080p Có Màu Ban Đêm Tặng Phíc Cắm Âm - Hàng Chính Hãng,247217,EZVIZ,Trong nước
368,15634428,2774213367820,"* Camera kết nối Wifi, KHÔNG hỗ trợ kết nối dây mạng LAN TÍNH NĂNG SẢN PHẨM- Camera ngoài trời Yoosee Ptz Mini là mẫu Camera mới nhất trên thị trường hiện nay. Sản phẩm đáp ứng được sự mong mỏi của...",348000,348000,0,0,0,0,0,,0,available,Camera wifi 2 râu YooSee Full HD-1080P S200 cao cấp-Hàng chính hãng,111625,Yoosee,Trong nước
369,5524525,2767827157659,"Thiết kế nhỏ gọn, chắc chắnCamera Wifi Thể Thao 1080P Chống Thấm Nước 30m SJCAM 4000 được thiết kế rất chắc chắn với kích thước nhỏ gọn giúp bạn có thể gắn dễ dàng vào cánh tay, gắn trong xe ô tô, tr...",1535040,1550000,14960,1,0,2,5346,SIEUTHIHANGCONGNGHE,1000,available,Camera Wifi Thể Thao 1080P Chống Thấm Nước 30m SJCAM 4000 - Hàng Nhập Khẩu,150532,SJCAM,Trong nước
370,16048714,9659845305446,"Đạt chuẩn chống nước IP67Camera Dahua HFW 1200DP Full HD 1080P có thiết kế hình trụ, bạn có thể dễ dàng đặt camera tại văn phòng, nhà ở hoặc cửa hàng để quản lý, quan sát một cách hiệu quả.Hình ảnh...",835000,835000,0,0,0,1,265319,Shop Phân Phối Camera,1000,available,Camera Dahua HFW 1200DP Full HD 1080P - Chính Hãng + Tặng kèm nguồn Adapter,74552,Dahua,Trong nước
371,198254237,4726931774076,"Dòng camera an ninh ngoài trời Bullet 2C là giải pháp hoàn hảo để bảo vệ căn nhà, văn phòng, cửa hàng của bạn. Với chuẩn kháng bụi và nước IP67, camera này hoạt động tốt trong mọi thời tiết và môi t...",975000,1770000,795000,45,0,2,302021,IMOU OFFICIAL STORE,1000,available,Camera Wifi Imou Bullet 2C (4MP) I Phát hiện con người I Chống nước IP67 I Ghi hình có âm thanh I Hàng chính hãng,416097,IMOU,Trong nước
372,97963121,9466225830865,"CAMERA 4MPx hàng chính hãngVừa là đồ trang trí, vừa bảo vệ ngôi nhà của bạn.Thanh lịch và linh hoạt, camera C6W là tất cả sự bảo vệ bạn cần cho một ngôi nhà rộng lớn. Camera ghi lại ở độ phân giả...",1149000,1149000,0,0,0,0,0,,0,available,camera IP Wifi Ezviz C6W  4Mp Độ Phân Giải 2K Xoay Quét 360 Độ-Hàng Chính Hãng,247217,EZVIZ,Trong nước
373,205492293,3444133766485,Camera IP hồng ngoại không dây 2.0 Megapixel EZVIZ C1C-B 1080P  - Cảm biến hình ảnh: 1/3-inch Progressive Scan CMOS.- Độ phân giải: 2.0 Megapixel.- Ống kính góc rộng 108°.- Tầm quan sát hồng ngo...,455700,490000,34300,7,1,9,265319,Shop Phân Phối Camera,1000,available,CAMERA WIFI EZVIZ C1C 1080P Full HD - HÀNG CHÍNH HÃNG,247217,EZVIZ,Trong nước
374,188927018,5885364475769,"CAMERA “YOOSEE” WIFI 4 RÂU 36 LED. Độ phân giải 5.0 mpx.Ứng dụng quản lý: YOOSEESố lượng đèn: 36 đèn hồng ngoại và Flash, thiết kế hiện đạiĐộ phân giải: 5.0 mpx, Full HDKết nối: Mạng không dây Wif...",425000,425000,0,0,0,4,265319,Shop Phân Phối Camera,1000,available,CAMERA WIFI YOOSEE 4 RÂU 36 LED 5.0 MPX XOAY 180 độ - HÀNG CHÍNH HÃNG,111625,Yoosee,Trong nước
375,9839803,8795721976902,"* Sản phẩm chưa có thẻ nhớ, Quý khách vui lòng bấm vào đường dẫn dưới đây để mua thêm thẻ nhớ:=> Thẻ nhớ Yoosee 32Gb - Chuyên dụng Camera - Hàng nhập khẩu | ĐiệnTửSàiGòn | Tiki=> Thẻ nhớ Yoose...",279900,279900,0,0,0,7,196510,ĐiệnTửSàiGòn,1000,available,Camera Giám Sát IP Yoosee 3 Râu - Hàng nhập khẩu,111625,Yoosee,Trong nước
